ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly,category_id
2025-01-28,435.87445847417376,81.08834005978512,791.8784535759029,366.6232536534731,-0.13667732425438575,0.2629711623834446,11
2025-01-29,493.1970601342714,140.8477534650975,877.9328604718404,366.67625442728934,0.03812772566818725,0.24432454627426772,11
2023-02-20,293.64856755246166,0.0,599.899050228761,362.32206192,-0.11472482957706036,-0.3749485535454377,23
2023-03-10,642.0337579394751,355.1515846735215,944.8695253636671,362.1386190732089,0.16011216472137338,0.34836906872668133,23
2023-04-05,211.55602914250483,0.0,542.3108842572118,361.87364607228835,-0.12289882102217087,-0.5212115571405393,23
2023-04-11,325.5241543394525,32.978861363446725,605.9087505403684,361.8124984566913,0.022282717872773247,-0.3217890707723299,23
2023-04-13,253.2085479702244,0.0,554.3278361060181,361.79211591817705,0.02717556599909517,-0.16113165670741572,23
2023-04-16,437.50313503012745,152.0862045395383,743.8385394612594,361.76154211040574,0.12681323268330497,0.1330954953184753,23
2023-05-08,484.99246003583164,186.3056199666585,797.4227605647081,361.53733418674926,-0.11472482957722091,0.6570948854419948,23
2023-05-15,325.16128875719625,19.336714794110314,619.9405850284286,361.46599530200535,-0.11472482957702969,0.22490369803017676,23
2023-06-05,376.66131841698126,64.85346422475067,672.3356511141608,361.25197864777346,-0.1147248295772107,0.026687352857222468,23
2023-07-03,359.9082863716635,51.063334040627346,662.2769738146319,360.9666231087976,-0.11472482957687598,-0.00577121354667117,23
2023-07-08,454.2909067477551,137.79193729081308,740.7164314620547,360.91566676266,-0.09876003067861794,0.11530315578690781,23
2023-07-09,522.4809510578224,211.51352663735682,822.5307603944566,360.9054754934325,0.1268132326832057,0.12121883842141515,23
2023-07-30,207.02137251781173,0.0,498.84661830311586,360.6914588396546,0.12681323268331224,-0.6066842850807864,23
2023-08-14,182.41140000920316,0.0,473.66806619537704,360.5385898013801,-0.1147248295767701,-0.43244154878653857,23
2023-08-17,227.36862287237213,0.0,550.0107093977513,360.5080159937253,0.02717556600008077,-0.3912708334975972,23
2023-08-18,278.3741322703869,1.7584351657436847,569.7799936969853,360.4978247245021,0.1601121647207344,-0.38189880216268807,23
2023-08-24,248.3633206420643,0.0,540.7650396812031,360.4366771091627,0.027175565999958396,-0.3591166948687846,23
2023-09-05,294.59717269168476,18.52288674649347,595.8381606391166,360.314381878484,0.02228271787332394,-0.2180342855064935,23
2023-09-06,237.86953842042794,0.0,526.5303218441078,360.3041906092226,-0.1228988210212658,-0.1912198762740105,23
2023-09-10,416.3840337694451,126.68896072537993,707.6428847836519,360.2634255321768,0.1268132326832626,-0.07400689235954809,23
2023-09-15,405.5393449884247,79.42589973893915,685.4770032728389,360.2124691858696,0.16011216472054043,0.051160642351191554,23
2023-09-19,374.0798956979719,67.65324271208081,651.7185241702706,360.1717041087938,0.022282717872891825,0.09226761773367358,23
2023-09-25,298.08513269456995,0.0,599.5873820457044,360.11055649318007,-0.11472482957731316,0.026834785403371,23
2023-09-28,320.5487941917543,0.0,593.1217156611586,360.0799826853732,0.027175565999781614,-0.04747413725509142,23
2023-10-08,327.84313753794083,20.133853376174688,624.6362985705523,359.97806999248996,0.12681323268322253,-0.24853137143385304,23
2023-10-12,253.7977060819909,0.0,535.7647899402276,359.93730491533665,0.027175566000478397,-0.2369319795604101,23
2023-10-15,349.7106681206916,73.40377283624177,664.8213580698402,359.90673110747167,0.1268132326831705,-0.19233226426041972,23
2023-10-23,281.01713952679023,0.0,576.7259560805363,359.82520095311645,-0.11472482957697848,-0.023169189139625256,23
2023-11-03,396.3789825985982,116.35955090871545,668.6705765850262,359.71309699087806,0.16011216472113662,0.03393635609665418,23
2023-11-08,281.35746280968215,0.0,562.3249366518636,359.66214064440607,-0.1228988210219252,-0.0010854535033307548,23
2023-11-09,335.5927864981113,30.73461246564338,617.1708500269764,359.65194937511063,0.02717556599897601,-0.007682831847900712,23
2023-11-12,400.5817295209815,82.03325070112285,682.4369529585616,359.62137556722445,0.12681323268322495,-0.022694687746832105,23
2023-11-26,388.9297073481962,93.05505597682249,684.1957896240431,359.4786977970887,0.12681323268330996,-0.052343172827522016,23
2023-11-27,256.92218678140534,0.0,546.4076445064792,359.46850652779534,-0.11472482957692041,-0.06010543012741643,23
2023-12-01,341.3367452360448,37.1316879838125,626.2385051272944,359.42774145062174,0.16011216472111153,-0.10005278213300157,23
2023-12-03,385.0509590855661,88.926634595741,689.1987329519303,359.407358912035,0.1268132326832579,-0.12053684760223161,23
2023-12-09,299.5800907148969,17.898113163639618,600.0350451046831,359.3462112962491,-0.09876003067862041,-0.1331620711739544,23
2023-12-16,364.6934519032971,58.92822201552173,660.5960353562403,359.2748724111656,-0.09876003067878404,0.059608394157282495,23
2023-12-21,470.70448325194747,154.45209122413723,769.0386670400895,359.2239160645435,0.02717556600012484,0.3479006935857718,23
2023-12-24,619.320795105987,330.5420714767557,913.844524493262,359.1933422565703,0.12681323268326986,0.545954759395743,23
2023-12-30,657.3823904202666,369.92007676268,945.7568318325606,359.13219464062377,-0.09876003067911134,0.8657654862415358,23
2024-01-22,291.6170084150619,0.0,582.5002464506265,358.89779544569114,-0.11472482957704334,-0.06111777956891854,23
2024-01-23,324.93078407251926,37.99133009749542,616.8881464099422,358.88760417634626,0.022282717873414057,-0.10558488995792571,23
2024-02-01,273.74930405069375,0.0,582.0098256608628,358.79588275224216,0.027175565998377702,-0.25850589063481266,23
2024-02-02,325.7715203581164,49.689270571118456,629.4429681861552,358.78569148289284,0.16011216472104334,-0.256880649734684,23
2024-02-05,216.28406267162978,0.0,493.0870211896603,358.755117674845,-0.1147248295771288,-0.2484725300335997,23
2024-02-14,209.62187154048218,0.0,484.82742255635355,358.6633962507012,-0.12289882102189874,-0.303462440231016,23
2024-02-15,242.13884241280465,0.0,538.8310046372847,358.65320498132695,0.027175565999074485,-0.31775522711979687,23
2024-02-24,221.21008894286962,0.0,518.445856436397,358.56148355695825,-0.09876003067865508,-0.35330058937065967,23
2024-03-09,466.76449671580235,153.21528051646442,756.7148635200184,358.41880578571795,-0.09876003067820668,0.33528669198049676,23
2024-03-16,513.3186898594739,221.21873133621244,814.185140851317,358.34746689964294,-0.09876003067886514,0.5128628825548643,23
2024-03-22,476.56370958310885,185.4554214165924,769.107941977677,358.28631928300723,0.16011216472067352,0.2749585742525845,23
